group	samples
target	SRR1796957
target	SRR1797040
target	SRR1796959
target	SRR2083197
target	SRR5912875
target	SRR1791167
target	SRR1559163
target	SRR2239693
target	SRR2239696
target	SRR4376051
target	SRR1810577
target	SRR1791047
target	SRR1810644
target	SRR2083188
target	SRR1797028
target	SRR1791147
target	SRR4376046
target	SRR1559033
target	SRR1797129
target	SRR2042850
target	SRR4376048
target	SRR1797111
target	SRR1791022
target	SRR1559085
target	SRR1798970
target	SRR1791150
target	SRR1810599
target	SRR1797101
target	SRR1790989
target	SRR1791057
target	SRR2059685
target	SRR1796940
target	SRR4419555
target	SRR1796916
target	SRR1797124
target	SRR1796999
target	SRR1796924
target	SRR1796965
target	SRR1559184
target	SRR2042833
target	SRR1810602
target	SRR2042861
target	SRR4416278
target	SRR1791143
target	SRR1791113
target	SRR1799057
target	SRR2083136
target	SRR1791139
target	SRR1791154
target	SRR1559136
target	SRR1821181
target	SRR1798981
target	SRR1791016
target	SRR1796938
target	SRR1791141
target	SRR5912870
target	SRR1791002
target	SRR1790997
target	SRR1559058
target	SRR4376049
target	SRR1797024
target	SRR2083166
target	SRR1799051
target	SRR4416260
target	SRR1559065
target	SRR4376026
target	SRR2239698
target	SRR1791041
target	SRR1791138
target	SRR1797043
target	SRR2083115
target	SRR1797106
target	SRR1559107
target	SRR1797014
target	SRR1791165
target	SRR1559115
target	SRR1797118
target	SRR2083152
target	SRR1799073
target	SRR1559049
target	SRR1712462
target	SRR1796978
target	SRR1791117
target	SRR2083195
target	SRR1810640
target	SRR1559154
target	SRR1559116
target	SRR1796982
target	SRR1712453
target	SRR1791035
target	SRR1798972
target	SRR2239676
target	SRR1559174
target	SRR2239697
target	SRR1791010
target	SRR1559054
target	SRR1810612
target	SRR1796954
target	SRR4416294
target	SRR1797078
target	SRR1797010
target	SRR1797016
target	SRR2239702
target	SRR1797073
target	SRR2239688
target	SRR1799083
target	SRR1559122
target	SRR1559051
target	SRR1559135
target	SRR2239659
target	SRR1797017
target	SRR1799047
target	SRR2239692
target	SRR1559165
target	SRR1796897
target	SRR4416275
target	SRR2083183
target	SRR1810594
target	SRR4419560
target	SRR1791093
target	SRR1796858
target	SRR1796948
target	SRR1791122
target	SRR1790992
target	SRR1797104
target	SRR1797041
target	SRR1559177
target	SRR1791123
target	SRR4416259
target	SRR1791152
target	SRR2239678
target	SRR1790987
target	SRR1796889
target	SRR1799086
target	SRR1791039
target	SRR1797056
target	SRR1797009
target	SRR1791012
target	SRR1791140
target	SRR1799000
target	SRR2239669
target	SRR1559186
target	SRR2042858
target	SRR1797044
target	SRR1799063
target	SRR4416263
target	SRR1796885
target	SRR2239679
target	SRR1559109
target	SRR1791061
target	SRR2239701
target	SRR1797000
target	SRR1798966
target	SRR1796925
target	SRR1810617
target	SRR4416283
target	SRR1810622
target	SRR1559112
target	SRR1791130
target	SRR1798976
target	SRR1791144
target	SRR2042840
target	SRR2239718
target	SRR1796971
target	SRR4376039
target	SRR1796986
target	SRR1799018
target	SRR2083110
target	SRR1799001
target	SRR1798968
target	SRR1712458
target	SRR1799006
target	SRR1559111
target	SRR2083169
target	SRR1559044
target	SRR1559045
target	SRR1791033
target	SRR1799041
target	SRR4416272
target	SRR1559061
target	SRR1559062
target	SRR3162195
target	SRR1559056
target	SRR1797071
target	SRR1559144
target	SRR1799084
target	SRR1559099
target	SRR2083119
target	SRR1796972
target	SRR1796872
target	SRR1791085
target	SRR1559162
target	SRR1791045
target	SRR1559043
target	SRR1791036
target	SRR1810603
target	SRR1799058
target	SRR1790994
target	SRR1796899
target	SRR5912863
target	SRR1559150
target	SRR1797113
target	SRR1791052
target	SRR1796985
target	SRR1791086
target	SRR2083147
target	SRR1799068
target	SRR1791007
target	SRR5912864
target	SRR1784867
target	SRR2083185
target	SRR2083142
target	SRR1791134
target	SRR4376035
target	SRR1799014
target	SRR2042836
target	SRR1797076
target	SRR1799082
target	SRR2239713
target	SRR1797020
target	SRR1797079
target	SRR1784868
target	SRR2042852
target	SRR1799056
target	SRR1559088
target	SRR1810598
target	SRR2083184
target	SRR1796913
target	SRR1798974
target	SRR1791070
target	SRR1798954
target	SRR1559094
target	SRR1791038
target	SRR1797004
target	SRR1799044
target	SRR1559176
target	SRR2239689
target	SRR1798992
target	SRR1559060
target	SRR1559126
target	SRR1791043
target	SRR2083171
target	SRR1559142
target	SRR1559168
target	SRR2083150
target	SRR1796961
target	SRR1559110
target	SRR2042843
target	SRR4416302
target	SRR1796862
target	SRR4419567
target	SRR2083201
target	SRR1796955
target	SRR2083187
target	SRR1797127
target	SRR1791044
target	SRR1791164
target	SRR1791017
target	SRR1799015
target	SRR1799027
target	SRR4376027
target	SRR1799059
target	SRR2083191
target	SRR1797019
target	SRR1798971
target	SRR1559093
target	SRR1796964
target	SRR1799020
target	SRR1559108
target	SRR1810590
target	SRR1799038
target	SRR1797122
target	SRR1797015
target	SRR2239690
target	SRR1821985
target	SRR2083138
target	SRR1797003
target	SRR2239683
target	SRR2239706
target	SRR1559182
target	SRR1796930
target	SRR4416300
target	SRR2239677
target	SRR1791110
target	SRR1559180
target	SRR1791067
target	SRR1791080
target	SRR1784865
target	SRR2239656
target	SRR1559096
target	SRR1559121
target	SRR1796932
target	SRR1559127
target	SRR1797008
target	SRR2083127
target	SRR1791172
target	SRR1559066
target	SRR1791029
target	SRR1559173
target	SRR1712455
target	SRR1799074
target	SRR1810616
target	SRR1559080
target	SRR1791107
target	SRR1559157
target	SRR1797018
target	SRR1798960
target	SRR1559114
target	SRR1797036
target	SRR1797103
target	SRR1810601
target	SRR1791066
target	SRR1712464
target	SRR2239707
target	SRR1797088
target	SRR1798985
target	SRR1559102
target	SRR2239657
target	SRR2083193
target	SRR1796958
target	SRR1796943
target	SRR2083135
target	SRR1791042
target	SRR2083170
target	SRR2083174
target	SRR1791053
target	SRR1559138
target	SRR1799080
target	SRR1796910
target	SRR5912874
target	SRR1791034
target	SRR1791161
target	SRR2083173
target	SRR2239703
target	SRR1810589
target	SRR1559077
target	SRR1791082
target	SRR2083196
target	SRR1559125
target	SRR1791054
target	SRR1810593
target	SRR2239682
target	SRR1796884
target	SRR1810613
target	SRR4416266
target	SRR1821182
target	SRR1791051
target	SRR1559155
target	SRR4376025
target	SRR1810623
target	SRR1799061
target	SRR1796984
target	SRR4419554
target	SRR1559170
target	SRR1810630
target	SRR2042848
target	SRR2083112
target	SRR1559068
target	SRR1797054
target	SRR1810615
target	SRR1796988
target	SRR1797035
target	SRR2083180
target	SRR1790986
target	SRR1796883
target	SRR1796868
target	SRR1799016
target	SRR1799052
target	SRR1796995
target	SRR1798994
target	SRR1712460
target	SRR1796977
target	SRR1810592
target	SRR2083189
target	SRR1797049
target	SRR5912866
target	SRR2042841
target	SRR1796879
target	SRR1810591
target	SRR1784861
target	SRR1712463
target	SRR1559048
target	SRR1559172
target	SRR1796893
target	SRR2042849
target	SRR2042853
target	SRR1796857
target	SRR1712454
target	SRR1790993
target	SRR1796993
target	SRR1796898
target	SRR1799004
target	SRR2239717
target	SRR1797077
target	SRR2239660
target	SRR1791096
target	SRR2042859
target	SRR2083161
target	SRR1799019
target	SRR1798958
target	SRR1799053
target	SRR1797001
target	SRR2042837
target	SRR1559057
target	SRR1559151
target	SRR1791166
target	SRR1797115
target	SRR1791097
target	SRR2083181
target	SRR1791040
target	SRR1712459
target	SRR2239699
target	SRR1796947
target	SRR4416282
target	SRR1798980
target	SRR4376041
target	SRR2059683
target	SRR1791126
target	SRR1799026
target	SRR1791014
target	SRR4416281
target	SRR1810628
target	SRR1799043
target	SRR1797029
target	SRR1559079
target	SRR1810584
target	SRR1798995
target	SRR1791116
target	SRR2239705
target	SRR5115241
target	SRR1791049
target	SRR3162212
target	SRR1791100
target	SRR1559133
target	SRR1796864
target	SRR1810633
target	SRR1797105
target	SRR1810619
target	SRR1559055
target	SRR1798987
target	SRR1559031
target	SRR5912873
target	SRR1797032
target	SRR1791089
target	SRR1810636
target	SRR1791068
target	SRR1796980
target	SRR1797055
target	SRR1810634
target	SRR1796981
target	SRR1798996
target	SRR1797048
target	SRR1791133
target	SRR1791146
target	SRR2083182
target	SRR1559063
target	SRR4416269
target	SRR2083146
target	SRR1798975
target	SRR1784863
target	SRR1791076
target	SRR1797033
target	SRR1791018
target	SRR1796996
target	SRR1799076
target	SRR1798988
target	SRR1796927
target	SRR2059686
target	SRR2083176
target	SRR1796867
target	SRR2083158
target	SRR1559131
target	SRR1796903
target	SRR1810627
target	SRR1796874
target	SRR5115239
target	SRR1797099
target	SRR1791155
target	SRR2083124
target	SRR1797072
target	SRR1559035
target	SRR4416273
target	SRR1797037
target	SRR4419557
target	SRR1810624
target	SRR1799021
target	SRR1797027
target	SRR1559181
target	SRR1559167
target	SRR1712461
target	SRR1796968
target	SRR1791048
target	SRR2042851
target	SRR1810642
target	SRR1797119
gtex	SRR1396250
gtex	SRR614599
gtex	SRR812773
gtex	SRR1416841
gtex	SRR1388081
gtex	SRR1348951
gtex	SRR808728
gtex	SRR1456548
gtex	SRR1442800
gtex	SRR815020
gtex	SRR1351979
gtex	SRR1089504
gtex	SRR1471713
gtex	SRR820779
gtex	SRR659121
gtex	SRR1089901
gtex	SRR1387308
gtex	SRR1375774
gtex	SRR1105272
gtex	SRR1375756
gtex	SRR1442754
gtex	SRR1432913
gtex	SRR817832
gtex	SRR1368874
gtex	SRR1410890
gtex	SRR1092208
gtex	SRR598452
gtex	SRR1418628
gtex	SRR816770
gtex	SRR1472486
gtex	SRR1444002
gtex	SRR614143
gtex	SRR1459845
gtex	SRR1352147
gtex	SRR1459889
gtex	SRR1389497
gtex	SRR1430507
gtex	SRR1076393
gtex	SRR657054
gtex	SRR1102031
gtex	SRR1334512
gtex	SRR1327951
gtex	SRR614383
gtex	SRR1074140
gtex	SRR5125374
gtex	SRR660602
gtex	SRR1340804
gtex	SRR615647
gtex	SRR1082685
gtex	SRR820709
gtex	SRR1362395
gtex	SRR1101324
gtex	SRR662067
gtex	SRR1392186
gtex	SRR1434845
gtex	SRR817715
gtex	SRR1101106
gtex	SRR1468532
gtex	SRR659935
gtex	SRR1366813
gtex	SRR658633
gtex	SRR1096662
gtex	SRR1440137
gtex	SRR660295
gtex	SRR1353663
gtex	SRR1322900
gtex	SRR1440852
gtex	SRR1356397
gtex	SRR1317685
gtex	SRR617829
gtex	SRR1324496
gtex	SRR1401885
gtex	SRR1338384
gtex	SRR662282
gtex	SRR1435730
gtex	SRR661529
gtex	SRR1481083
gtex	SRR1352021
gtex	SRR614011
gtex	SRR812177
gtex	SRR627435
gtex	SRR1319242
gtex	SRR665262
gtex	SRR1455236
gtex	SRR1472102
gtex	SRR1460211
gtex	SRR612683
gtex	SRR661913
gtex	SRR809348
gtex	SRR1403280
gtex	SRR1335627
